,Date,Stock Name,BIL_return_Adj Close,EEM_return_Adj Close,GLD_return_Adj Close,GSG_return_Adj Close,IEI_return_Adj Close,LQD_return_Adj Close,SPHY_return_Adj Close,UUP_return_Adj Close,VNQ_return_Adj Close,VWO_return_Adj Close,XLB_return_Adj Close,XLE_return_Adj Close,XLF_return_Adj Close,XLI_return_Adj Close,XLK_return_Adj Close,XLP_return_Adj Close,XLU_return_Adj Close,XLV_return_Adj Close,XLY_return_Adj Close,XTL_return_Adj Close,Day 1,Day 2,Day 3,Day 4,Day 5
0,2010-02-02 - 2010-02-06,XLY_return_Adj Close,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.2761919204171481,0.15528144042293712,-0.11339977319659615,0.1240170531847018,0.108216875605398
1,2010-02-02 - 2010-02-06,XLP_return_Adj Close,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.21019191548485824,-0.029821134305825236,-0.1774050483431292,0.019412475798622358,0.027968701592771303
2,2010-02-02 - 2010-02-06,XLE_return_Adj Close,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.18609411742848725,0.06594376607204849,-0.11336165407479845,0.11445164274157993,0.08846202781177925
3,2010-02-02 - 2010-02-06,XLF_return_Adj Close,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.34282989669620123,-0.43548603580974293,-0.5790318737040193,-0.3343157648400787,-0.4052619376126302
4,2010-02-02 - 2010-02-06,XLV_return_Adj Close,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.35792304629657723,-0.02977128277920138,-0.16481076577033782,0.10425985247985524,0.08578002350065655
5,2010-02-02 - 2010-02-06,XLI_return_Adj Close,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1044886636326813,-0.10450565581659052,-0.30022727203284005,-0.09108334594799464,-0.118743992891111
6,2010-02-02 - 2010-02-06,XLB_return_Adj Close,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.004986065341129855,-0.13359876461619632,-0.360863833192088,0.13139284576829316,-0.021418546565374084
7,2010-02-02 - 2010-02-06,XLK_return_Adj Close,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.15905304574661427,0.09978652039625167,-0.1373858318927963,0.1603170357677772,0.10418866348100947
8,2010-02-02 - 2010-02-06,XTL_return_Adj Close,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03413643807155673,0.03413643807155673,0.03413643807155673,0.03413643807155673,0.03413643807155673
9,2010-02-02 - 2010-02-06,XLU_return_Adj Close,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0074245152331293566,-0.11749298752575794,-0.2765671490460025,-0.07373904748901232,-0.11383978618671098
10,2010-02-02 - 2010-02-06,IEI_return_Adj Close,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.005145973936504789,-0.2317979240391368,0.4570098489627508,0.1582808909964139,0.010410704212343962
11,2010-02-02 - 2010-02-06,LQD_return_Adj Close,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.14177812922877092,-0.209643848384724,-0.19427780905721725,-0.24202113907733605,-0.2096464598800088
12,2010-02-02 - 2010-02-06,SPHY_return_Adj Close,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2609909852133968,0.2609909852133968,0.2609909852133968,0.2609909852133968,0.2609909852133968
13,2010-02-02 - 2010-02-06,GLD_return_Adj Close,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3885199566972724,0.2257225521371233,-0.29886609135251585,0.3267178897805571,0.260336693603876
14,2010-02-02 - 2010-02-06,BIL_return_Adj Close,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2175381497431324,0.9577276899853197,0.17436910520288773,0.17436910520288773,0.17436910520288773
15,2010-02-02 - 2010-02-06,GSG_return_Adj Close,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5591969097915388,0.2430359610157461,-0.1544091765268933,0.07407139682802921,0.21657489748999806
16,2010-02-02 - 2010-02-06,UUP_return_Adj Close,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.1803326518130849,0.07756956726282285,0.10114421414792404,0.03922165971873762,-0.02758653174410522
17,2010-02-02 - 2010-02-06,VWO_return_Adj Close,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.31688789802126954,0.2371541851966329,-0.21199650348957705,0.24681032542284226,0.15892220968675108
18,2010-02-02 - 2010-02-06,EEM_return_Adj Close,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.329788414514031,0.19029528460534625,-0.2035787498742021,0.13667438151061295,0.14276584905817766
19,2010-02-02 - 2010-02-06,VNQ_return_Adj Close,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.4235856732270703,0.2001053700640229,0.04527158690928101,0.458470645472435,0.3084736073855868
20,2010-02-07 - 2010-02-11,XLY_return_Adj Close,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.108216875605398,0.09241669802609423,0.28877742464330153,0.11167423442810852,0.2558537231116834
21,2010-02-07 - 2010-02-11,XLP_return_Adj Close,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.027968701592771303,0.036524927386920265,0.18284912864694786,0.03666245231799672,0.13884591659963025
22,2010-02-07 - 2010-02-11,XLE_return_Adj Close,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.08846202781177925,0.06247241288197858,0.2296741937895867,0.09026030927062292,0.2075282926181426
